,seed,nodes,constrained,method_OL,method_OA,method_NO,component,B_est,B_real
100,4,1500,0,1,0,0,16,-4.0399423,-4.0
101,4,1500,0,1,0,0,17,3.9017177,4.0
102,4,1500,0,1,0,0,18,5.194809,5.0
103,4,1500,0,1,0,0,19,5.1078053,5.0
104,4,1500,0,1,0,0,20,3.211275,3.0
105,5,1500,0,1,0,0,0,1.3901702,1.0
106,5,1500,0,1,0,0,1,0.34116024,0.0
107,5,1500,0,1,0,0,2,-0.64857054,-1.0
108,5,1500,0,1,0,0,3,0.0746738,0.0
109,5,1500,0,1,0,0,4,1.1486027,1.0
110,5,1500,0,1,0,0,5,-0.9376565,-1.0
111,5,1500,0,1,0,0,6,0.9167655,1.0
112,5,1500,0,1,0,0,7,-0.024049522,0.0
113,5,1500,0,1,0,0,8,-1.0143248,-1.0
114,5,1500,0,1,0,0,9,0.1683053,0.0
115,5,1500,0,1,0,0,10,1.0675167,1.0
116,5,1500,0,1,0,0,11,-0.79393995,-1.0
117,5,1500,0,1,0,0,12,-3.163563,-4.0
118,5,1500,0,1,0,0,13,0.80705774,0.0
119,5,1500,0,1,0,0,14,4.9119105,4.0
120,5,1500,0,1,0,0,15,0.75770926,0.0
121,5,1500,0,1,0,0,16,-3.317172,-4.0
122,5,1500,0,1,0,0,17,4.8400517,4.0
123,5,1500,0,1,0,0,18,4.2791524,5.0
124,5,1500,0,1,0,0,19,4.3115945,5.0
125,5,1500,0,1,0,0,20,2.1892111,3.0
126,6,1500,0,1,0,0,0,1.0889235,1.0
127,6,1500,0,1,0,0,1,0.14142533,0.0
128,6,1500,0,1,0,0,2,-0.9056351,-1.0
129,6,1500,0,1,0,0,3,0.25145432,0.0
130,6,1500,0,1,0,0,4,1.2714478,1.0
131,6,1500,0,1,0,0,5,-0.7481662,-1.0
132,6,1500,0,1,0,0,6,0.6513329,1.0
133,6,1500,0,1,0,0,7,-0.41245714,0.0
134,6,1500,0,1,0,0,8,-1.3260299,-1.0
135,6,1500,0,1,0,0,9,-0.30474856,0.0
136,6,1500,0,1,0,0,10,0.652463,1.0
137,6,1500,0,1,0,0,11,-1.3234961,-1.0
138,6,1500,0,1,0,0,12,-4.427505,-4.0
139,6,1500,0,1,0,0,13,-0.37815908,0.0
140,6,1500,0,1,0,0,14,3.6809263,4.0
141,6,1500,0,1,0,0,15,-0.23515683,0.0
142,6,1500,0,1,0,0,16,-4.1993937,-4.0
143,6,1500,0,1,0,0,17,3.8077288,4.0
144,6,1500,0,1,0,0,18,5.367034,5.0
145,6,1500,0,1,0,0,19,5.3511457,5.0
146,6,1500,0,1,0,0,20,3.3065083,3.0
147,7,1500,0,1,0,0,0,0.75983775,1.0
148,7,1500,0,1,0,0,1,-0.33636433,0.0
149,7,1500,0,1,0,0,2,-1.2728504,-1.0
150,7,1500,0,1,0,0,3,-0.36256868,0.0
151,7,1500,0,1,0,0,4,0.6014481,1.0
152,7,1500,0,1,0,0,5,-1.3604513,-1.0
153,7,1500,0,1,0,0,6,1.3653405,1.0
154,7,1500,0,1,0,0,7,0.43544188,0.0
155,7,1500,0,1,0,0,8,-0.58683056,-1.0
156,7,1500,0,1,0,0,9,0.31411645,0.0
157,7,1500,0,1,0,0,10,1.3436233,1.0
158,7,1500,0,1,0,0,11,-0.6904657,-1.0
159,7,1500,0,1,0,0,12,-3.9743025,-4.0
160,7,1500,0,1,0,0,13,-0.041426547,0.0
161,7,1500,0,1,0,0,14,4.018828,4.0
162,7,1500,0,1,0,0,15,-0.09357824,0.0
163,7,1500,0,1,0,0,16,-4.1681585,-4.0
164,7,1500,0,1,0,0,17,3.8824418,4.0
165,7,1500,0,1,0,0,18,5.002385,5.0
166,7,1500,0,1,0,0,19,5.055441,5.0
167,7,1500,0,1,0,0,20,3.0101469,3.0
168,8,1500,0,1,0,0,0,1.1384189,1.0
169,8,1500,0,1,0,0,1,0.11594571,0.0
170,8,1500,0,1,0,0,2,-0.8631219,-1.0
171,8,1500,0,1,0,0,3,0.308587,0.0
172,8,1500,0,1,0,0,4,1.3233484,1.0
173,8,1500,0,1,0,0,5,-0.6946574,-1.0
174,8,1500,0,1,0,0,6,0.6768966,1.0
175,8,1500,0,1,0,0,7,-0.3517131,0.0
176,8,1500,0,1,0,0,8,-1.3433144,-1.0
177,8,1500,0,1,0,0,9,-0.45189014,0.0
178,8,1500,0,1,0,0,10,0.5080427,1.0
179,8,1500,0,1,0,0,11,-1.4736956,-1.0
180,8,1500,0,1,0,0,12,-4.0952864,-4.0
181,8,1500,0,1,0,0,13,-0.15560879,0.0
182,8,1500,0,1,0,0,14,3.8165162,4.0
183,8,1500,0,1,0,0,15,-0.056214705,0.0
184,8,1500,0,1,0,0,16,-4.096791,-4.0
