,n,coef,emp_var,theo_var
207,520000,4,6.995160590448931e-20,0.0
208,530000,1,2.868663745271718e-20,-0.0
209,530000,2,2.3913206432126375e-10,-2.829087600930644e-10
210,530000,3,2.391320643215756e-10,2.829087600930644e-10
211,530000,4,2.868663114236319e-20,0.0
212,540000,1,4.454313850225517e-20,-0.0
213,540000,2,2.751467626535829e-10,-2.777019332781768e-10
214,540000,3,2.7514676265307616e-10,2.777019332781768e-10
215,540000,4,4.4543120809702337e-20,0.0
216,550000,1,5.678224489775932e-20,-0.0
217,550000,2,3.1225752539437035e-10,-2.726582269182581e-10
218,550000,3,3.1225752539398204e-10,2.726582269182581e-10
219,550000,4,5.678223842857361e-20,0.0
220,560000,1,3.1417486236242574e-20,-0.0
221,560000,2,2.530055014202846e-10,-2.6778296021533614e-10
222,560000,3,2.53005501420366e-10,2.6778296021533614e-10
223,560000,4,3.1417489466794573e-20,0.0
224,570000,1,3.18383941579773e-20,-0.0
225,570000,2,2.634122633546662e-10,-2.6306357561300196e-10
226,570000,3,2.634122633552219e-10,2.6306357561300196e-10
227,570000,4,3.1838386829558474e-20,0.0
228,580000,1,3.441796620164218e-20,-0.0
229,580000,2,2.4085643613767544e-10,-2.585003019533566e-10
230,580000,3,2.4085643613802115e-10,2.585003019533566e-10
231,580000,4,3.441797137689144e-20,0.0
232,590000,1,7.520160741202654e-20,-0.0
233,590000,2,2.959032308730304e-10,-2.541005771242705e-10
234,590000,3,2.959032308722246e-10,2.541005771242705e-10
235,590000,4,7.520160712286495e-20,0.0
236,600000,1,3.2638459017329225e-20,-0.0
237,600000,2,2.5551751174129076e-10,-2.4986411828717655e-10
238,600000,3,2.555175117408854e-10,2.4986411828717655e-10
239,600000,4,3.2638466525138954e-20,0.0
240,610000,1,1.5665018131193295e-20,-0.0
241,610000,2,1.9744502800412083e-10,-2.4573968699478065e-10
242,610000,3,1.9744502800419008e-10,2.4573968699478065e-10
243,610000,4,1.566502210212885e-20,0.0
244,620000,1,2.829950488957155e-20,-0.0
245,620000,2,2.3088337143913067e-10,-2.417340854894749e-10
246,620000,3,2.3088337143985812e-10,2.417340854894749e-10
247,620000,4,2.829950753538276e-20,0.0
248,630000,1,2.999814877288799e-20,-0.0
249,630000,2,2.475683344506667e-10,-2.3787901459381194e-10
250,630000,3,2.4756833445020927e-10,2.3787901459381194e-10
251,630000,4,2.999814513738267e-20,0.0
252,640000,1,3.701864053378541e-20,-0.0
253,640000,2,2.290047555816003e-10,-2.341597515887773e-10
254,640000,3,2.2900475558168687e-10,2.341597515887773e-10
255,640000,4,3.70186439399252e-20,0.0
256,650000,1,3.5617869229393804e-20,-0.0
257,650000,2,2.797563867681274e-10,-2.3053531462353266e-10
258,650000,3,2.7975638676800447e-10,2.3053531462353266e-10
259,650000,4,3.5617872876655595e-20,0.0
260,660000,1,1.2312844107400563e-20,-0.0
261,660000,2,1.8133830069558168e-10,-2.270757982222487e-10
262,660000,3,1.8133830069560507e-10,2.270757982222487e-10
263,660000,4,1.231283270650686e-20,0.0
264,670000,1,3.545021269847882e-20,-0.0
265,670000,2,2.7393190718686873e-10,-2.2366603642108e-10
266,670000,3,2.7393190718643984e-10,2.2366603642108e-10
267,670000,4,3.545020617267604e-20,0.0
268,680000,1,5.385931241735409e-20,-0.0
269,680000,2,3.1226503261812614e-10,-2.2042174342767828e-10
270,680000,3,3.1226503261909033e-10,2.2042174342767828e-10
271,680000,4,5.385930689055599e-20,0.0
272,690000,1,2.2910782569209454e-20,-0.0
273,690000,2,2.003412043691831e-10,-2.172611594225846e-10
274,690000,3,2.0034120436922223e-10,2.172611594225846e-10
275,690000,4,2.291077467337976e-20,0.0
276,700000,1,1.9754838948062764e-20,-0.0
277,700000,2,2.0177464086235418e-10,-2.1415083342099372e-10
278,700000,3,2.017746408624281e-10,2.1415083342099372e-10
279,700000,4,1.9754841787833037e-20,0.0
280,710000,1,1.6762454245315788e-20,-0.0
281,710000,2,2.0043689988936245e-10,-2.111204283951977e-10
282,710000,3,2.00436899889191e-10,2.111204283951977e-10
283,710000,4,1.6762454313852687e-20,0.0
284,720000,1,2.207118028033445e-20,-0.0
285,720000,2,2.077854895742894e-10,-2.0821100645460742e-10
286,720000,3,2.077854895742284e-10,2.0821100645460742e-10
287,720000,4,2.207118357265901e-20,0.0
288,730000,1,4.125150000311366e-20,-0.0
289,730000,2,2.668809426726839e-10,-2.053649215808072e-10
290,730000,3,2.6688094267288553e-10,2.053649215808072e-10
291,730000,4,4.1251500931638306e-20,0.0
292,740000,1,1.0177877483872807e-20,-0.0
293,740000,2,1.4309860110518839e-10,-2.0258327733423808e-10
294,740000,3,1.430986011052209e-10,2.0258327733423808e-10
295,740000,4,1.0177876741996438e-20,0.0
296,750000,1,1.0090319108561935e-20,-0.0
297,750000,2,1.7776245044261757e-10,-1.9988889856797038e-10
298,750000,3,1.7776245044283998e-10,1.9988889856797038e-10
299,750000,4,1.0090326105991984e-20,0.0
300,760000,1,1.6810882147127866e-20,-0.0
301,760000,2,1.8208639873296962e-10,-1.9723636648521222e-10
302,760000,3,1.820863987327979e-10,1.9723636648521222e-10
303,760000,4,1.6810886276897498e-20,0.0
304,770000,1,2.3598245231657333e-20,-0.0
305,770000,2,2.1522209736816545e-10,-1.9472179179972665e-10
306,770000,3,2.1522209736812357e-10,1.9472179179972665e-10
307,770000,4,2.359825035409076e-20,0.0
308,780000,1,1.7254372597770396e-20,-0.0
309,780000,2,2.052930809676669e-10,-1.9219809756496743e-10
310,780000,3,2.0529308096767444e-10,1.9219809756496743e-10
311,780000,4,1.7254377466018173e-20,0.0
312,790000,1,1.2136050061469253e-20,-0.0
313,790000,2,1.6479363967604543e-10,-1.8974465935513587e-10
314,790000,3,1.6479363967652985e-10,1.8974465935513587e-10
315,790000,4,1.2136048968382197e-20,0.0
316,800000,1,3.185882721904021e-20,-0.0
317,800000,2,2.1736101885698268e-10,-1.8736138358612725e-10
318,800000,3,2.1736101885700517e-10,1.8736138358612725e-10
319,800000,4,3.1858823279710265e-20,0.0
320,810000,1,1.5649225545292195e-20,-0.0
321,810000,2,1.9352535356319755e-10,-1.8504107761755442e-10
322,810000,3,1.9352535356340288e-10,1.8504107761755442e-10
323,810000,4,1.5649226118796935e-20,0.0
324,820000,1,1.4594408918546965e-20,-0.0
325,820000,2,1.8464892777638625e-10,-1.8274273146470098e-10
326,820000,3,1.8464892777662782e-10,1.8274273146470098e-10
327,820000,4,1.4594404646681643e-20,0.0
328,830000,1,9.759373494056358e-21,-0.0
329,830000,2,1.5165993771944792e-10,-1.8055817709930846e-10
330,830000,3,1.5165993771967754e-10,1.8055817709930846e-10
331,830000,4,9.759369462859599e-21,0.0
332,840000,1,1.223458724214124e-20,-0.0
333,840000,2,1.5905652140565317e-10,-1.7840432583971466e-10
334,840000,3,1.5905652140524976e-10,1.7840432583971466e-10
335,840000,4,1.2234586969320369e-20,0.0
336,850000,1,1.3039350401938493e-20,-0.0
337,850000,2,1.8070977882976085e-10,-1.7630293794966402e-10
338,850000,3,1.8070977883054654e-10,1.7630293794966402e-10
339,850000,4,1.3039346313711798e-20,0.0
340,860000,1,8.149230435498774e-21,-0.0
341,860000,2,1.557749632786284e-10,-1.7426286498394245e-10
342,860000,3,1.5577496327897284e-10,1.7426286498394245e-10
343,860000,4,8.149235944017486e-21,0.0
344,870000,1,9.479952143369628e-21,-0.0
345,870000,2,1.5367373184842278e-10,-1.7225197796792275e-10
346,870000,3,1.5367373184862208e-10,1.7225197796792275e-10
347,870000,4,9.479947692617522e-21,0.0
348,880000,1,1.6339016504644026e-20,-0.0
349,880000,2,1.5991405956761228e-10,-1.7030312487270516e-10
350,880000,3,1.5991405956820563e-10,1.7030312487270516e-10
351,880000,4,1.633901573836937e-20,0.0
352,890000,1,1.8837004050488534e-20,-0.0
353,890000,2,1.839954749598308e-10,-1.6839680785151943e-10
354,890000,3,1.8399547496044755e-10,1.6839680785151943e-10
355,890000,4,1.883701015556575e-20,0.0
356,900000,1,1.6712451975084078e-20,-0.0
357,900000,2,1.8005019733788678e-10,-1.6652463661881032e-10
358,900000,3,1.8005019733756402e-10,1.6652463661881032e-10
359,900000,4,1.671246049667034e-20,0.0
360,910000,1,9.953790013930834e-21,-0.0
361,910000,2,1.6613534569954703e-10,-1.6469424865670967e-10
362,910000,3,1.6613534570027425e-10,1.6469424865670967e-10
363,910000,4,9.95379418319817e-21,0.0
364,920000,1,9.589421820652875e-21,-0.0
365,920000,2,1.4605461105459468e-10,-1.6291108140348648e-10
366,920000,3,1.4605461105385438e-10,1.6291108140348648e-10
367,920000,4,9.58942389606698e-21,0.0
368,930000,1,1.0718176615465093e-20,-0.0
369,930000,2,1.4044455344568708e-10,-1.6115467230429802e-10
370,930000,3,1.4044455344625915e-10,1.6115467230429802e-10
371,930000,4,1.07181779937103e-20,0.0
372,940000,1,7.456465481331169e-21,-0.0
373,940000,2,1.217094723414881e-10,-1.594342291662105e-10
374,940000,3,1.2170947234152875e-10,1.594342291662105e-10
375,940000,4,7.456462205639175e-21,0.0
376,950000,1,4.5856984786875554e-21,-0.0
377,950000,2,1.0476431518935459e-10,-1.5774741525810776e-10
378,950000,3,1.0476431518877836e-10,1.5774741525810776e-10
379,950000,4,4.5857004602446444e-21,0.0
380,960000,1,2.1418501539010097e-20,-0.0
381,960000,2,1.8488395214690556e-10,-1.5610797067835673e-10
382,960000,3,1.8488395214747707e-10,1.5610797067835673e-10
383,960000,4,2.141849576078736e-20,0.0
384,970000,1,1.0298332038477668e-20,-0.0
385,970000,2,1.4800991783010724e-10,-1.5451312777121644e-10
386,970000,3,1.4800991783039712e-10,1.5451312777121644e-10
387,970000,4,1.0298332775464245e-20,0.0
388,980000,1,1.7690742533032605e-20,-0.0
389,980000,2,1.578810744754554e-10,-1.5294416308769187e-10
390,980000,3,1.578810744755893e-10,1.5294416308769187e-10
391,980000,4,1.7690747538309853e-20,0.0
392,990000,1,1.4138067474172037e-20,-0.0
393,990000,2,1.8451995341183096e-10,-1.5140191547465783e-10
394,990000,3,1.8451995341244535e-10,1.5140191547465783e-10
395,990000,4,1.4138071373826486e-20,0.0
396,1000000,1,1.5313088748383574e-20,-0.0
397,1000000,2,1.3275513008655391e-10,-1.4989377076008223e-10
398,1000000,3,1.3275513008650286e-10,1.4989377076008223e-10
399,1000000,4,1.5313084555154462e-20,0.0
