,time,group,dim_1,dim_2
0,0,0,-0.69715774,-0.6400531
1,0,0,-0.57914305,-0.46410885
2,0,0,-0.6491418,-0.6031427
3,0,0,-0.6902019,-0.68663657
4,0,0,-0.6457401,-0.57229495
5,0,0,-0.65084916,-0.59461313
6,0,0,-0.545974,-0.4089966
7,0,0,-0.59336716,-0.4268466
8,0,0,-0.5997786,-0.4601134
9,0,0,-0.67581034,-0.6085939
10,0,0,-0.63257176,-0.48924378
11,0,0,-0.69962007,-0.48646963
12,0,0,-0.64039737,-0.59530777
13,0,0,-0.67314297,-0.6523882
14,0,0,-0.5674993,-0.48452196
15,0,0,-0.6825616,-0.64714605
16,0,0,-0.6244274,-0.43931523
17,0,0,-0.64030176,-0.6301041
18,0,0,-0.64083904,-0.6190524
19,0,0,-0.651749,-0.6650401
20,0,0,-0.60548866,-0.43493894
21,0,0,-0.6972504,-0.63501644
22,0,0,-0.62746865,-0.40476027
23,0,0,-0.5320752,-0.50802666
24,0,0,-0.67779803,-0.50587106
25,0,0,-0.5716999,-0.52572274
26,0,0,-0.65121555,-0.5648112
27,0,0,-0.6452739,-0.5140865
28,0,0,-0.60330915,-0.5799806
29,0,0,-0.61532986,-0.43531874
30,0,0,-0.7022269,-0.5568515
31,0,0,-0.64968693,-0.60337764
32,0,0,-0.67526144,-0.67430496
33,0,0,-0.6577686,-0.5948664
34,0,0,-0.60142064,-0.55254465
35,0,0,-0.6665671,-0.6106206
36,0,0,-0.69452035,-0.22930859
37,0,0,-0.6566893,-0.19995809
38,0,0,-0.6977104,-0.38904265
39,0,0,-0.64620024,-0.6315258
40,0,0,-0.6163518,-0.56750804
41,0,0,-0.6722524,-0.2625497
42,0,0,-0.7015552,-0.6733145
43,0,0,-0.48990658,-0.48846564
44,0,0,-0.6719028,-0.6003785
45,0,0,-0.71224403,-0.6807305
46,0,0,-0.6376666,-0.22707121
47,0,0,-0.65638644,-0.64230895
48,0,0,-0.5951662,-0.5722461
49,0,0,-0.6759017,-0.5860168
50,0,0,-0.5815091,-0.1423258
51,0,0,-0.68884486,-0.7030834
52,0,0,-0.62740046,-0.5927736
53,0,0,-0.6132417,-0.49885496
54,0,0,-0.67571557,-0.650513
55,0,0,-0.65572774,-0.56239516
56,0,0,-0.6718658,-0.33537355
57,0,0,-0.6005459,-0.59354347
58,0,0,-0.6407179,-0.34571144
59,0,0,-0.69639945,-0.6144106
60,0,0,-0.42816386,-0.36907429
61,0,0,-0.6891478,-0.6362767
62,0,0,-0.49739844,-0.48115924
63,0,0,-0.6892527,-0.39220577
64,0,0,-0.68114734,-0.43808514
65,0,0,-0.68927085,-0.6459447
66,0,0,-0.63938034,-0.6226284
67,0,0,-0.46286964,-0.46286622
68,0,0,-0.6979546,-0.69436824
69,0,0,-0.6948995,-0.6657095
70,0,0,-0.70601034,-0.61376214
71,0,0,-0.68425614,-0.6886202
