,time,group,dim_1,dim_2
0,0,0,0.9452749,0.04639232
1,0,0,0.7371566,0.08603644
2,0,0,0.8852736,0.038161993
3,0,0,0.9735361,0.008717746
4,0,0,0.86093235,0.05741504
5,0,0,0.88040453,0.04536903
6,0,0,0.67463535,0.10115436
7,0,0,0.7206359,0.12233728
8,0,0,0.7488129,0.10352656
9,0,0,0.90789056,0.053308398
10,0,0,0.79258275,0.10639453
11,0,0,0.83771586,0.1560551
12,0,0,0.87355465,0.037444204
13,0,0,0.9371798,0.020641357
14,0,0,0.74350226,0.06340802
15,0,0,0.94006693,0.031026661
16,0,0,0.7513312,0.135679
17,0,0,0.8982482,0.012928486
18,0,0,0.8907616,0.021075457
19,0,0,0.9311515,-0.0034715831
20,0,0,0.7349107,0.1252774
21,0,0,0.9417562,0.050000876
22,0,0,0.7288788,0.16212115
23,0,0,0.7353401,0.02168569
24,0,0,0.83618975,0.12689546
25,0,0,0.7757718,0.037450016
26,0,0,0.85945415,0.06656933
27,0,0,0.8191842,0.09797999
28,0,0,0.83659077,0.021820515
29,0,0,0.7420957,0.13201293
30,0,0,0.8896307,0.10846022
31,0,0,0.8858237,0.038385153
32,0,0,0.95426345,0.006750673
33,0,0,0.88544613,0.05011508
34,0,0,0.81574035,0.039753318
35,0,0,0.9028382,0.04530728
36,0,0,0.65113866,0.33310533
37,0,0,0.6036729,0.32680732
38,0,0,0.76704544,0.22314802
39,0,0,0.90340483,0.016126633
40,0,0,0.83687806,0.039865673
41,0,0,0.6591475,0.29390484
42,0,0,0.9720329,0.026156574
43,0,0,0.69179344,0.0054219663
44,0,0,0.8992984,0.05630073
45,0,0,0.98481965,0.028552711
46,0,0,0.6096021,0.29422048
47,0,0,0.91823447,0.015799254
48,0,0,0.8253649,0.021461397
49,0,0,0.8918884,0.069236696
50,0,0,0.5098416,0.31380108
51,0,0,0.98428583,-0.003802985
52,0,0,0.86262,0.02997616
53,0,0,0.7858405,0.085886806
54,0,0,0.9376526,0.023789942
55,0,0,0.86090505,0.07147759
56,0,0,0.7106972,0.24246429
57,0,0,0.8443,0.0103257
58,0,0,0.696169,0.21303657
59,0,0,0.92649525,0.063872874
60,0,0,0.5634547,0.04537043
61,0,0,0.93695945,0.04335004
62,0,0,0.69185805,0.015886188
63,0,0,0.76335394,0.21490735
64,0,0,0.7903069,0.17690462
65,0,0,0.9439255,0.036645234
66,0,0,0.89228165,0.017524838
67,0,0,0.65458035,0.0041694045
68,0,0,0.9844847,0.008802444
69,0,0,0.9619447,0.026764005
70,0,0,0.9327854,0.07116866
71,0,0,0.97077024,0.0030930042
72,0,0,0.93321687,0.044173747
73,0,0,0.7360959,0.15559304
74,0,0,0.92226505,0.044698656
75,0,0,0.8605962,0.09669912
76,0,0,0.90396476,0.03513804
77,0,0,0.80737114,0.024319112
78,0,0,0.878341,0.07489705
79,0,0,0.92675436,0.03499672
80,0,0,0.75476134,0.018882692
81,0,0,0.843487,0.0560624
82,0,0,0.9422073,0.011220068
83,0,0,0.89795446,0.019465476
84,0,0,0.92737204,-0.0057165623
85,0,0,0.7879449,0.090139955
86,0,0,0.8266474,0.09979737
87,0,0,0.91717523,0.05493459
88,0,0,0.85268974,0.013330311
89,0,0,0.9169943,0.07011628
90,0,0,0.7160262,0.23587918
91,0,0,0.6832651,0.055017024
92,0,0,0.9001091,0.015699834
93,0,0,0.76220334,0.2465677
94,0,0,0.9223218,0.03746769
95,0,0,0.8501613,0.09532678
96,0,0,0.85818124,0.16475788
97,0,0,0.76322544,0.2412374
98,0,0,0.7311461,0.1698159
99,0,0,0.8698966,0.029912949
100,0,0,0.9557661,-0.004196197
101,0,0,0.62598646,0.20390542
102,0,0,0.64746356,0.083175
103,0,0,0.912135,0.05793643
104,0,0,0.894943,0.04592088
105,0,0,0.7659889,0.1418339
106,0,0,0.8957379,0.102508664
107,0,0,0.6642777,0.05625847
108,0,0,0.7885059,0.032685876
109,0,0,0.9025916,0.020709276
110,0,0,0.8973658,0.047314614
111,0,0,0.8063346,0.1580317
112,0,0,0.92964613,0.050845057
113,0,0,0.92301095,0.023359954
114,0,0,0.9555081,-0.0011550486
115,0,0,0.82623786,0.017009825
116,0,0,0.66125506,0.27912244
117,0,0,0.5641534,0.30368745
118,0,0,0.94795936,0.010184795
119,0,0,0.89584637,0.010915011
120,0,0,0.81905735,0.09147206
121,0,0,0.8692689,0.08789626
122,0,0,0.9755251,0.010066271
123,0,0,0.82331467,0.08991802
124,0,0,0.7213856,0.20288235
125,0,0,0.8472121,0.025986284
126,0,0,0.93408465,0.088939816
127,0,0,0.76182634,0.006429225
128,0,0,0.80621594,0.13037318
129,0,0,0.7210794,0.005965948
130,0,0,0.7787945,0.10875842
131,0,0,0.87412906,0.0675711
132,0,0,0.8981744,-0.0014410317
133,0,0,0.90149546,0.011627644
134,0,0,0.86751556,0.037287205
135,0,0,0.7151307,0.0011197627
136,0,0,0.9294326,0.013893902
137,0,0,0.6889188,0.17169186
138,0,0,0.9877589,0.039747298
139,0,0,0.75382036,0.11620319
140,0,0,0.8088579,0.16048482
141,0,0,0.8806007,0.00095045567
142,0,0,0.7496569,0.12785101
143,0,0,0.7858635,0.051568866
144,0,0,0.9367019,0.032983333
145,0,0,0.9585715,0.05054152
146,0,0,0.8256372,0.030461818
147,0,0,0.5763252,0.37778857
148,0,0,0.9170394,0.06771007
149,0,0,0.8215047,0.116531014
150,0,0,0.8774383,-0.0035550296
151,0,0,0.73287445,0.13771307
152,0,0,0.97887576,0.023370892
153,0,0,0.8989638,0.036230385
154,0,0,0.89221144,0.111484975
155,0,0,0.92781866,0.055814475
156,0,0,0.8750324,0.07452819
157,0,0,0.9646803,0.029103905
158,0,0,0.78245544,0.11414412
159,0,0,0.80746555,0.11426991
160,0,0,0.8163916,0.044036955
161,0,0,0.94807684,-0.0024027526
162,0,0,0.8670747,0.05387208
163,0,0,0.72787786,0.068360746
164,0,0,0.64943564,0.32871175
165,0,0,0.6629064,0.28605333
166,0,0,0.84725255,0.015081704
167,0,0,0.70296955,0.10060111
168,0,0,0.8199528,0.032812864
169,0,0,0.6033633,0.046465695
170,0,0,0.9274122,-0.0017860532
171,0,0,0.81610227,0.13702378
172,0,0,0.8116041,0.053195953
173,0,0,0.80866927,0.055539817
174,0,0,0.78439003,0.11675283
175,0,0,0.9204681,0.042820573
176,0,0,0.80624276,0.1424101
177,0,0,0.905748,0.047484875
178,0,0,0.82710516,0.030716509
