,time,group,dim_1,dim_2
0,0,0,0.75966275,0.06617966
1,0,0,0.92379117,0.07859826
2,0,0,0.8747046,0.02474007
3,0,0,0.89314497,0.1081835
4,0,0,0.800532,0.047531277
5,0,0,0.98488617,8.0764294e-05
6,0,0,0.9889268,0.025111407
7,0,0,0.9395018,0.046352386
8,0,0,0.82000554,0.16972077
9,0,0,0.8874077,0.0125130415
10,0,0,0.7471193,0.111570716
11,0,0,0.6559279,0.025617719
12,0,0,0.750589,0.04938233
13,0,0,0.8215753,0.17325893
14,0,0,0.85217184,0.06774837
15,0,0,0.7508797,0.1515409
16,0,0,0.74778473,0.09248304
17,0,0,0.8741588,0.04365775
18,0,0,0.84634936,-0.0040843785
19,0,0,0.7614894,0.04589027
20,0,0,0.9811611,0.037061036
21,0,0,0.5502126,0.34426612
22,0,0,0.9224744,0.0062173605
23,0,0,0.92216814,0.064507425
24,0,0,0.8323803,0.12979367
25,0,0,0.9317541,0.014341176
26,0,0,0.9070504,0.099689364
27,0,0,0.58381164,0.053878337
28,0,0,1.0047877,0.017563254
29,0,0,0.9539121,0.017755419
30,0,0,0.7377925,0.010523111
31,0,0,0.95846164,0.054509997
32,0,0,0.74051386,0.09754461
33,0,0,0.81676614,0.09001899
34,0,0,0.87867075,0.04680726
35,0,0,0.8476754,0.084472775
36,0,0,0.8074169,0.03354454
37,0,0,0.6984161,0.011110663
38,0,0,0.8668925,0.04316944
39,0,0,0.81363726,0.09221181
40,0,0,0.9621126,0.020972341
41,0,0,0.91404974,0.053629637
42,0,0,0.7478211,0.13888031
43,0,0,0.8962938,0.013536334
44,0,0,0.820423,0.15536937
45,0,0,0.88509417,0.07585451
46,0,0,0.65520304,0.0671297
47,0,0,0.91467154,0.056948215
48,0,0,0.9099823,0.014685452
49,0,0,0.87549925,0.011053234
50,0,0,0.78793716,0.19156322
51,0,0,0.79826605,0.10428333
52,0,0,0.8708241,0.047129124
53,0,0,0.7590855,0.17972112
54,0,0,0.673776,0.19260915
55,0,0,0.8332989,0.11195502
56,0,0,0.68547106,0.05972758
57,0,0,0.87748253,0.048574835
58,0,0,0.9543555,0.05797711
59,0,0,0.66072726,0.035979956
60,0,0,0.9826341,0.014437795
61,0,0,0.69399285,0.10559362
62,0,0,0.91496223,0.039710104
63,0,0,0.8525101,0.07832423
64,0,0,0.78968,0.06537017
65,0,0,0.79685974,0.026040167
66,0,0,0.8950919,0.071836084
67,0,0,0.9089521,0.0026568472
68,0,0,0.8295325,0.16546196
69,0,0,0.9238547,0.07575983
70,0,0,0.7103994,0.14069578
71,0,0,0.9140222,0.06128058
72,0,0,0.90078145,0.028709173
73,0,0,0.8799962,0.095954925
74,0,0,0.8609275,0.059141338
75,0,0,0.7805025,0.21084186
76,0,0,0.902964,0.020916402
77,0,0,0.86018485,0.011552572
78,0,0,0.83078176,0.047474027
79,0,0,0.9069105,0.058827013
80,0,0,0.9300481,0.06058973
81,0,0,0.85996217,0.08500725
82,0,0,0.9347815,0.00883165
83,0,0,0.9374831,0.017097712
84,0,0,0.75525075,0.17633495
85,0,0,0.92976785,0.051273108
86,0,0,0.66622984,0.100762546
87,0,0,0.92827606,0.064316064
88,0,0,0.9401419,0.0065414608
89,0,0,0.697734,0.079282135
90,0,0,0.9220716,0.029249847
91,0,0,0.54959667,0.04036981
92,0,0,0.9725945,-0.0034627616
93,0,0,0.9659935,0.03275442
94,0,0,0.73257315,0.17382094
95,0,0,0.58882594,0.3539968
96,0,0,0.71165264,0.24184567
97,0,0,0.94817936,0.05287394
98,0,0,0.6044982,0.40488577
99,0,0,0.96417105,0.030046403
100,0,0,0.94795537,-0.0001796484
101,0,0,0.8302251,0.11897558
102,0,0,0.96848416,0.003230065
103,0,0,0.6278418,0.20609894
104,0,0,0.86392736,0.018093437
105,0,0,0.7829418,0.12043297
106,0,0,0.8050339,0.091162294
107,0,0,0.58226657,0.20615764
108,0,0,0.6541196,0.1867623
109,0,0,0.883819,0.05155626
110,0,0,0.6267772,0.019012272
111,0,0,0.828819,0.12552807
112,0,0,0.8672743,0.027508467
113,0,0,0.8005027,0.061994404
114,0,0,0.75457186,0.19592416
115,0,0,0.7736316,0.008995533
116,0,0,0.937042,0.042428195
117,0,0,0.84088266,0.0120357275
118,0,0,0.8972061,0.021479696
119,0,0,0.86088014,0.10762516
120,0,0,0.86034536,0.0047646463
121,0,0,0.9218135,0.06414878
122,0,0,0.6214917,0.27320904
123,0,0,0.8397224,0.060249656
124,0,0,0.9358506,0.043503642
125,0,0,0.67516327,0.20166291
126,0,0,0.9883547,-0.013522416
127,0,0,0.96352905,0.030729413
128,0,0,0.92999125,0.05966416
129,0,0,0.7371038,0.0641233
130,0,0,0.83782744,0.11894658
131,0,0,0.93381137,0.013999075
132,0,0,0.8790759,0.12936044
133,0,0,0.70645094,0.2560588
134,0,0,0.8358425,0.116265595
135,0,0,0.79475343,0.11537957
136,0,0,0.68594086,0.0025081933
137,0,0,0.76420784,0.009294182
138,0,0,0.95594263,0.02549684
139,0,0,0.7729628,0.074644566
140,0,0,0.9365993,0.019571513
141,0,0,0.79748976,0.03579387
142,0,0,0.76457894,0.14065707
143,0,0,0.7052668,0.031080753
144,0,0,0.85854316,0.0069825053
