,seed,n,p0,beta1,beta2,beta3,beta4,info_lost
0,0,1500,2,0.7985196113586426,0.7889764904975891,-1.1750338077545166,-0.861106276512146,0.10066666666666668
1,0,1500,3,0.6990228891372681,1.0327575206756592,-2.252833604812622,3.7721850872039795,0.44599999999999995
2,0,1500,4,0.6341136693954468,0.750895619392395,-2.7520365715026855,3.5090012550354004,0.5866666666666667
3,0,1500,5,0.929393470287323,0.7417882084846497,-4.351693153381348,1.8532835245132446,0.6293333333333333
4,0,1500,6,0.4629398286342621,1.3769214153289795,-2.5745325088500977,1.8130054473876953,0.8853333333333333
5,0,3000,2,0.5061339139938354,0.9026841521263123,-1.1520830392837524,-0.34017300605773926,0.10066666666666668
6,0,3000,3,0.9230055809020996,1.1445869207382202,-1.6356289386749268,4.585020542144775,0.5846666666666667
7,0,3000,4,0.7226554751396179,1.0650947093963623,-2.049604654312134,-0.824550986289978,0.33266666666666667
8,0,3000,5,0.9390867948532104,1.1204575300216675,-2.848609685897827,-1.6238561868667603,0.5296666666666667
9,0,3000,6,0.9181275367736816,1.261786699295044,-4.265917778015137,-1.990185260772705,0.727
10,0,4500,2,0.5009517669677734,0.705028235912323,-0.5578422546386719,-2.711615562438965,0.18733333333333335
11,0,4500,3,0.603868842124939,0.25723931193351746,-1.530096173286438,-1.0789846181869507,0.2486666666666667
12,0,4500,4,0.7201423048973083,0.772860050201416,-1.777286410331726,4.737637519836426,0.5584444444444445
13,0,4500,5,0.923610508441925,1.0597279071807861,-4.093571186065674,-1.582031488418579,0.2691111111111111
14,0,4500,6,0.9345674514770508,1.0275397300720215,-3.93324875831604,-1.1757025718688965,0.7342222222222222
15,0,6000,2,0.530160665512085,0.6148266792297363,-1.0462815761566162,6.0948896408081055,0.17083333333333328
16,0,6000,3,,,,,0.503
17,0,6000,4,0.8762536644935608,0.9147080779075623,-2.488142251968384,-0.31274324655532837,0.42500000000000004
18,0,6000,5,0.9418153762817383,0.9953866004943848,-4.327992916107178,-0.8043402433395386,0.22283333333333333
19,0,6000,6,0.8360137939453125,0.9461991786956787,-6.715409278869629,1.1517467498779297,0.5926666666666667
20,1,1500,2,0.2709411680698395,0.7652971744537354,-0.749872088432312,0.28680574893951416,0.28800000000000003
21,1,1500,3,0.4473140239715576,1.1636862754821777,-2.2126564979553223,5.9472126960754395,0.44266666666666665
