,dim,b0,b1,b2,b3,s0,s1,s2,s3
0,2,1.5699249505996704,1.1227595806121826,0.9991311430931091,0.7916944026947021,0.0701431878372268,0.06423093688841572,0.30456896456882143,0.08376963741485208
1,3,1.410566806793213,1.0667548179626465,2.438695192337036,0.41188105940818787,0.055316629232088244,0.059523579761652054,0.25214717105278545,0.06564327507780669
2,4,1.1697310209274292,-0.21062597632408142,2.0144057273864746,-0.9435403347015381,0.043461530163231635,0.0627349520237515,0.22087784830565754,0.0777607802251394
3,5,1.2244493961334229,0.2998118996620178,0.8223794102668762,0.004633784294128418,0.03933244503838613,0.061270318000419065,0.16370824760205957,0.06879440913415295
4,6,1.4490808248519897,0.5760445594787598,0.9177638292312622,0.09353135526180267,0.0333885387341014,0.05554718370593276,0.14844004729243584,0.06555159442675242
5,7,1.4281237125396729,0.4812243580818176,0.47117340564727783,-0.062189191579818726,0.03192035826563478,0.0591989239660492,0.15384688127900506,0.07328120781667508
6,8,1.5765098333358765,0.3955102562904358,0.7127735018730164,-0.1274249404668808,0.02868092360524074,0.05502743739021779,0.14643986979556203,0.07206562435336572
7,9,1.5844740867614746,0.6119544506072998,0.52208411693573,-0.03084370493888855,0.029846867161689255,0.05622810974287314,0.13355102385644757,0.07045580248081894
