,time,group,dim_1,dim_2
0,0,0,0.06662968,0.7596239
1,0,0,0.0791454,0.92374575
2,0,0,0.025261074,0.874688
3,0,0,0.108715,0.89307904
4,0,0,0.048004985,0.80050516
5,0,0,0.00066408515,0.9848872
6,0,0,0.025699228,0.9889109
7,0,0,0.046907663,0.93947613
8,0,0,0.1702084,0.81990373
9,0,0,0.013039321,0.8874007
10,0,0,0.11201534,0.7470519
11,0,0,0.026008695,0.65591097
12,0,0,0.04982856,0.75055885
13,0,0,0.17374563,0.8214726
14,0,0,0.06825295,0.8521326
15,0,0,0.15198398,0.75079197
16,0,0,0.09292561,0.7477306
17,0,0,0.044177562,0.8741319
18,0,0,-0.0035823286,0.8463516
19,0,0,0.04634419,0.76146054
20,0,0,0.03764546,0.9811374
21,0,0,0.3445956,0.5500055
22,0,0,0.00676319,0.9224721
23,0,0,0.06505492,0.92212963
24,0,0,0.13028648,0.83230424
25,0,0,0.0148974955,0.9317428
26,0,0,0.10022718,0.9069911
27,0,0,0.0542233,0.5837809
28,0,0,0.018157959,1.0047785
29,0,0,0.018321872,0.9539011
30,0,0,0.010957956,0.7377888
31,0,0,0.055078477,0.95842934
32,0,0,0.09798229,0.7404573
33,0,0,0.0905014,0.81671464
34,0,0,0.047326088,0.87864494
35,0,0,0.08497682,0.8476243
36,0,0,0.034020334,0.8073998
37,0,0,0.011524737,0.6984099
38,0,0,0.04367879,0.86687124
39,0,0,0.092695415,0.81358176
40,0,0,0.021540672,0.9621022
41,0,0,0.05417505,0.91401535
42,0,0,0.1393295,0.74773395
43,0,0,0.014068484,0.8962856
44,0,0,0.1558584,0.82032883
45,0,0,0.07638472,0.88504493
46,0,0,0.06752193,0.6551601
47,0,0,0.057489425,0.9146392
48,0,0,0.015225142,0.90997386
49,0,0,0.011574805,0.87549067
50,0,0,0.19203463,0.78781986
51,0,0,0.10475674,0.7982041
52,0,0,0.047647476,0.8707948
53,0,0,0.18017125,0.75897884
54,0,0,0.19301382,0.6736573
55,0,0,0.112448454,0.8332335
56,0,0,0.060136497,0.6854338
57,0,0,0.049096882,0.8774525
58,0,0,0.058541,0.95432305
59,0,0,0.036373198,0.66070485
60,0,0,0.015018702,0.9826274
61,0,0,0.10600656,0.6939292
62,0,0,0.040251553,0.91494
63,0,0,0.07883003,0.85246396
64,0,0,0.06584257,0.7896377
65,0,0,0.02651307,0.7968442
66,0,0,0.07236558,0.8950509
67,0,0,0.003196776,0.90895027
68,0,0,0.16595691,0.82943165
69,0,0,0.076304555,0.92381287
70,0,0,0.14111504,0.7103176
71,0,0,0.061824292,0.91398466
72,0,0,0.029243112,0.9007647
73,0,0,0.096482754,0.87993395
74,0,0,0.059646517,0.8608973
75,0,0,0.21130219,0.78037965
76,0,0,0.021453947,0.9029503
77,0,0,0.012063295,0.8601774
78,0,0,0.047967404,0.8307533
79,0,0,0.059364974,0.9068756
80,0,0,0.061146617,0.93000793
81,0,0,0.08551225,0.8599163
82,0,0,0.009385258,0.93477714
83,0,0,0.017654687,0.93747234
84,0,0,0.17678973,0.7551403
85,0,0,0.05182317,0.9297388
86,0,0,0.10115346,0.6661737
87,0,0,0.06486654,0.928238
88,0,0,0.0071012974,0.94013643
89,0,0,0.07969719,0.69768614
90,0,0,0.0297966,0.9220545
91,0,0,0.040697962,0.5495709
92,0,0,-0.0028811991,0.9725927
93,0,0,0.03332892,0.965973
94,0,0,0.17425299,0.7324723
95,0,0,0.3543461,0.5886159
96,0,0,0.24227461,0.71150315
97,0,0,0.053433836,0.9481504
98,0,0,0.4052462,0.604256
99,0,0,0.03061977,0.9641522
100,0,0,0.0003850758,0.9479535
101,0,0,0.11946994,0.830153
102,0,0,0.0038039088,0.9684831
103,0,0,0.20647366,0.6277174
104,0,0,0.018607914,0.86391497
105,0,0,0.12089673,0.7828709
106,0,0,0.09163877,0.80498075
107,0,0,0.20649993,0.5821468
108,0,0,0.18715136,0.6540078
109,0,0,0.05208075,0.88378847
110,0,0,0.019385487,0.6267648
111,0,0,0.12601906,0.8287451
112,0,0,0.02802366,0.86725765
113,0,0,0.06246814,0.80046666
114,0,0,0.19637442,0.7544532
115,0,0,0.009453118,0.77362764
116,0,0,0.04298535,0.93701583
117,0,0,0.012534022,0.84087604
118,0,0,0.02201143,0.8971938
119,0,0,0.10813543,0.8608166
120,0,0,0.005274087,0.86034334
121,0,0,0.06469917,0.9217725
122,0,0,0.2735787,0.6213286
123,0,0,0.06074786,0.83968675
124,0,0,0.044057757,0.9358257
125,0,0,0.20206542,0.67504185
126,0,0,-0.012936056,0.9883629
127,0,0,0.031297028,0.96351445
128,0,0,0.060216486,0.92995536
129,0,0,0.06456128,0.7370652
130,0,0,0.11944732,0.83775353
131,0,0,0.014551729,0.9338043
132,0,0,0.12987933,0.87900126
133,0,0,0.25648254,0.7062948
134,0,0,0.11676088,0.83577394
135,0,0,0.11585325,0.794683
136,0,0,0.0029200912,0.6859352
137,0,0,0.0097453,0.7642045
138,0,0,0.026064217,0.9559273
139,0,0,0.075104475,0.77291715
140,0,0,0.020125568,0.9365891
141,0,0,0.0362629,0.7974721
142,0,0,0.14111537,0.76449114
143,0,0,0.031498194,0.705249
144,0,0,0.0074938834,0.8585373
145,0,0,0.04179421,0.7757045
146,0,0,0.022546142,0.731527
147,0,0,0.0954296,0.93516266
148,0,0,0.09171581,0.87292475
149,0,0,0.010367155,0.837937
150,0,0,0.011040598,0.9829136
151,0,0,0.041506648,0.92320967
152,0,0,0.06072542,0.9185297
153,0,0,0.14716774,0.7477584
154,0,0,0.09600705,0.8629912
155,0,0,0.017673671,0.97001004
156,0,0,0.034586817,0.77018034
157,0,0,0.13740212,0.8015373
158,0,0,0.014768779,0.85826826
159,0,0,0.010579973,0.66985905
160,0,0,0.13421327,0.7346468
161,0,0,0.077194035,0.7527659
162,0,0,0.046657145,0.78984314
163,0,0,0.18463549,0.63537884
164,0,0,0.21186148,0.6826884
165,0,0,0.07700735,0.88304037
166,0,0,0.1451472,0.6251505
167,0,0,0.09329298,0.7026441
168,0,0,0.13146865,0.8422662
169,0,0,0.03524992,0.9384108
170,0,0,0.031638056,0.9214423
171,0,0,0.15149337,0.774122
172,0,0,0.048382968,0.92507607
173,0,0,0.16785067,0.82736015
174,0,0,0.09452337,0.8821599
175,0,0,0.2516368,0.61407614
176,0,0,0.12419894,0.862298
177,0,0,-0.00025892258,0.5409031
178,0,0,0.14014924,0.85046947
179,0,0,0.061675042,0.9498317
180,0,0,0.17123652,0.708399
181,0,0,0.084912896,0.80391955
182,0,0,0.090355754,0.88765067
183,0,0,0.088076204,0.8046248
184,0,0,0.040065974,0.7153841
185,0,0,0.1011813,0.9144137
186,0,0,0.031474113,0.9279922
187,0,0,0.14657044,0.8278609
188,0,0,0.03493631,0.8503928
189,0,0,0.00020700693,0.78542554
190,0,0,0.043867588,0.94590837
191,0,0,0.056596577,0.84526426
192,0,0,0.035153598,0.9555919
193,0,0,0.13702399,0.7533777
194,0,0,0.15382013,0.83293116
195,0,0,0.10062128,0.7879691
196,0,0,0.022746354,0.96368414
197,0,0,0.060690284,0.826087
198,0,0,0.20754702,0.68470204
199,0,0,0.0042127967,0.9647753
200,0,0,0.023049802,0.9052868
201,0,0,0.08160445,0.90886897
202,0,0,0.097568095,0.7878338
203,0,0,0.26936227,0.6760564
204,0,0,0.053706914,0.8656912
205,0,0,0.040051073,0.8845292
206,0,0,0.08520049,0.8525684
207,0,0,0.07609829,0.8569183
208,0,0,0.013280809,0.7927844
209,0,0,0.006019354,0.8579445
210,0,0,0.112900704,0.7824911
211,0,0,0.16871786,0.8027439
212,0,0,0.038730264,0.86317456
213,0,0,0.02244386,0.8847941
214,0,0,0.13198555,0.89147604
215,0,0,0.027017862,1.0013286
216,0,0,0.10474545,0.8554683
217,0,0,0.038044184,0.6851666
218,0,0,0.07092139,0.78854156
219,0,0,0.07317591,0.86689276
220,0,0,0.004275948,0.93853104
221,0,0,0.033768594,0.9123619
222,0,0,0.016096264,0.96540767
223,0,0,0.14618629,0.84406704
224,0,0,0.12776428,0.8862487
225,0,0,0.036162406,0.9383671
226,0,0,0.09691349,0.7844279
227,0,0,0.11078587,0.68348217
228,0,0,0.008300245,0.9079629
229,0,0,0.013133079,0.9033402
230,0,0,0.19995898,0.7758278
231,0,0,0.025339931,0.93276966
232,0,0,0.17210373,0.74667037
233,0,0,0.011245787,0.90085095
234,0,0,0.094415784,0.7702302
235,0,0,0.13520944,0.8448691
236,0,0,0.3109476,0.65547895
237,0,0,0.014660478,0.84370667
238,0,0,0.014841378,0.967363
239,0,0,0.017165512,0.9649315
240,0,0,0.08880073,0.824297
241,0,0,0.06534788,0.7926095
242,0,0,0.033890367,0.874266
243,0,0,0.022065282,0.93430215
244,0,0,0.024319887,0.9055475
245,0,0,0.02977848,0.8641469
246,0,0,0.20572245,0.72946954
247,0,0,0.017418057,0.94315535
248,0,0,0.10706523,0.8224394
249,0,0,0.10192528,0.7962581
250,0,0,0.15956771,0.7361193
251,0,0,0.018807143,0.93873966
252,0,0,0.08501795,0.68370855
253,0,0,0.3328387,0.63221794
254,0,0,0.023873657,0.93406534
255,0,0,0.10085356,0.853439
256,0,0,0.011167347,0.9749017
257,0,0,0.06064099,0.76679367
258,0,0,0.054125875,0.85537934
259,0,0,0.008592457,0.97925687
260,0,0,0.024128884,0.90800387
261,0,0,0.13730898,0.81910443
262,0,0,0.089969516,0.8560528
263,0,0,0.074287206,0.95379865
264,0,0,0.024379015,0.9328165
265,0,0,0.025621861,0.93911505
266,0,0,0.029515237,0.8380597
267,0,0,0.11642507,0.86219907
268,0,0,0.0913063,0.86338234
269,0,0,0.03176695,0.80846214
270,0,0,0.0692032,0.8511022
271,0,0,0.03696966,0.9390758
272,0,0,0.0421094,0.9558798
273,0,0,0.024721354,0.8329605
274,0,0,0.097219944,0.737218
275,0,0,0.072544634,0.78689855
276,0,0,0.06933114,0.9326354
277,0,0,0.05282876,0.9537996
278,0,0,0.08210695,0.78234863
279,0,0,0.055766523,0.8919169
280,0,0,0.13328414,0.58487713
281,0,0,0.05478376,0.8782605
282,0,0,0.14905241,0.65864396
283,0,0,0.07251698,0.8833547
284,0,0,0.07695529,0.8936025
285,0,0,0.08743873,0.7412107
286,0,0,0.01986003,0.8296044
287,0,0,0.16564345,0.7890823
288,0,0,0.061216325,0.91944426
289,0,0,0.06330106,0.87574685
290,0,0,0.21877432,0.7883146
291,0,0,0.040428042,0.838936
292,0,0,0.23979275,0.7380361
293,0,0,0.06262964,0.8231456
294,0,0,0.02069816,0.9569859
295,0,0,0.028044015,0.93813705
296,0,0,0.03208801,0.78952193
297,0,0,0.04111293,0.8922649
298,0,0,-0.0062037706,0.78652555
299,0,0,0.091210574,0.8882282
300,0,0,0.044683784,0.93564254
301,0,0,0.03295818,0.7016791
302,0,0,0.29813388,0.6369164
303,0,0,0.07318896,0.8711133
304,0,0,0.0065920055,0.91059273
305,0,0,0.074311525,0.83715713
306,0,0,0.11079784,0.58070165
307,0,0,0.1574798,0.64190745
308,0,0,0.063825965,0.92742103
309,0,0,0.14618972,0.76983386
310,0,0,0.11631718,0.84678316
311,0,0,0.08844507,0.8333248
312,0,0,0.039181113,0.9158278
313,0,0,0.09113824,0.6727248
314,0,0,0.12504557,0.8480029
315,0,0,0.022216797,0.8979995
316,0,0,0.113339335,0.89409584
317,0,0,0.052540928,0.86371
318,0,0,0.06004256,0.6929425
319,0,0,0.12872824,0.7884536
320,0,0,0.036335737,0.9694555
321,0,0,0.070644766,0.8069302
322,0,0,0.053632677,0.6067997
323,0,0,0.06941101,0.92814225
324,0,0,0.15240753,0.74750865
325,0,0,0.23091298,0.73761594
326,0,0,0.071009874,0.76963556
327,0,0,0.019144505,0.7800442
328,0,0,0.003840208,0.69564915
329,0,0,0.057415515,0.7636903
