,time,group,dim_1,dim_2,dim_3
0,0,0,0.7674793,0.17394765,0.05857307
1,0,0,0.5951263,0.08881843,0.3160553
2,0,0,0.16175853,0.05269198,0.7855495
3,0,0,0.46807128,0.14718007,0.38474867
4,0,0,0.06580624,0.670439,0.26375476
5,0,0,0.6519012,0.29456604,0.053532805
6,0,0,0.26149696,0.4260751,0.31242794
7,0,0,0.641837,0.23965839,0.11850462
8,0,0,0.40538326,0.024833828,0.5697829
9,0,0,0.14850403,0.024104837,0.82739115
10,0,0,0.5440127,0.4370089,0.018978378
11,0,0,0.72091126,0.20737088,0.071717836
12,0,0,0.420832,0.20521933,0.37394863
13,0,0,0.48043615,0.19277829,0.32678556
14,0,0,0.40288112,0.24093647,0.35618243
15,0,0,0.25148273,0.3441112,0.40440607
16,0,0,0.49852,0.28114176,0.22033828
17,0,0,0.23098053,0.58685064,0.1821688
18,0,0,0.6619623,0.23099455,0.10704317
19,0,0,0.025696848,0.014999331,0.9593038
20,0,0,0.22973637,0.024315968,0.74594766
21,0,0,0.48780805,0.4457324,0.06645953
22,0,0,0.33485442,0.1813018,0.48384377
23,0,0,0.09725859,0.6117438,0.29099756
24,0,0,0.4535756,0.5132509,0.033173528
25,0,0,0.2247175,0.072637215,0.7026453
26,0,0,0.44232824,0.41473934,0.14293244
27,0,0,0.8477733,0.029222917,0.12300377
28,0,0,0.07896147,0.6687739,0.25226462
29,0,0,0.08443662,0.18296234,0.73260105
30,0,0,0.16521844,0.76029044,0.07449109
31,0,0,0.20694862,0.46052608,0.3325253
32,0,0,0.11886173,0.6913426,0.18979566
33,0,0,0.55343616,0.17484728,0.27171654
34,0,0,0.021753931,0.09701922,0.88122684
35,0,0,0.5217016,0.2452563,0.2330421
36,0,0,0.4320634,0.5679288,7.79911e-06
37,0,0,0.31579736,0.54996336,0.13423929
38,0,0,0.011601176,0.34589225,0.6425066
39,0,0,0.07618474,0.24388376,0.6799315
40,0,0,0.11288141,0.5894785,0.29764012
41,0,0,0.20055991,0.60007703,0.19936304
42,0,0,0.0030140677,0.25781396,0.739172
43,0,0,0.6997886,0.2564677,0.043743707
44,0,0,0.22189127,0.6945433,0.08356541
45,0,0,0.5941261,0.17705142,0.22882247
46,0,0,0.31058484,0.2344168,0.45499834
47,0,0,0.09396962,0.82987905,0.076151356
48,0,0,0.32163703,0.43135497,0.24700798
49,0,0,0.24305232,0.034981683,0.721966
50,0,0,0.17839321,0.77702445,0.04458231
51,0,0,0.5015164,0.34789205,0.15059157
52,0,0,0.07244091,0.41643074,0.51112837
53,0,0,0.11773992,0.5948554,0.28740466
54,0,0,0.4856022,0.26552656,0.24887124
55,0,0,0.47987965,0.37528315,0.14483722
56,0,0,0.709669,0.026174061,0.26415697
57,0,0,0.72572577,0.24777675,0.026497466
58,0,0,0.7362961,0.19634448,0.06735941
59,0,0,0.76035506,0.10208996,0.13755499
60,0,0,0.5653294,0.33696815,0.097702466
61,0,0,0.15874234,0.19828795,0.6429697
62,0,0,0.8610102,0.081626065,0.05736375
63,0,0,0.38365853,0.352318,0.26402348
64,0,0,0.7775173,0.08091925,0.14156343
65,0,0,0.5379456,0.03575187,0.42630252
66,0,0,0.4177828,0.5022559,0.07996125
67,0,0,0.38337064,0.3123587,0.30427065
68,0,0,0.9516893,0.0040249103,0.044285763
69,0,0,0.87223935,0.013852471,0.1139082
70,0,0,0.6081428,0.21879612,0.17306107
71,0,0,0.029703576,0.043174524,0.9271219
